"Date","Price","Open","High","Low","Vol.","Change %"
"06/01/2000","5.083","5.065","5.120","5.000","40.70K","1.93%"
"05/01/2000","4.987","5.025","5.190","4.920","186.71K","-0.56%"
"04/01/2000","5.015","5.060","5.060","4.975","24.60K","-0.93%"
"03/01/2000","5.062","5.125","5.210","4.965","186.14K","-0.90%"
"02/01/2000","5.108","5.110","5.150","5.090","32.52K","-4.00%"
"01/01/2000","5.321","5.420","5.470","5.125","204.63K","-2.42%"
"12/01/1999","5.453","5.240","5.470","5.235","40.38K","4.14%"
"11/01/1999","5.236","5.130","5.255","5.100","15.20K","1.14%"
"10/01/1999","5.177","5.610","5.765","5.150","259.08K","-7.80%"
"09/01/1999","5.615","5.770","5.805","5.550","42.67K","8.23%"
"08/01/1999","5.188","5.150","5.175","5.095","14.39K","-5.50%"
"07/01/1999","5.490","5.300","5.480","5.025","197.62K","3.84%"
"06/01/1999","5.287","5.000","5.305","4.953","38.65K","7.68%"
"05/01/1999","4.910","5.425","5.580","4.910","211.83K","-9.58%"
"04/01/1999","5.430","4.910","5.485","4.910","59.48K","8.99%"
"03/01/1999","4.982","5.625","5.660","4.955","282.12K","-11.51%"
"02/01/1999","5.630","5.400","5.640","5.380","41.62K","7.20%"
"01/01/1999","5.252","5.030","5.410","4.860","232.85K","4.62%"
"12/01/1998","5.020","5.030","5.095","4.995","14.54K","3.19%"
"11/01/1998","4.865","4.980","5.045","4.900","19.32K","-3.93%"
"10/01/1998","5.064","5.360","5.475","4.765","222.56K","-5.52%"
"09/01/1998","5.360","4.770","5.400","4.770","40.04K","15.07%"
"08/01/1998","4.658","5.420","5.445","4.685","33.73K","-14.89%"
"07/01/1998","5.473","5.530","5.885","5.235","223.23K","-1.12%"
"06/01/1998","5.535","5.069","5.585","5.069","39.59K","8.55%"
"05/01/1998","5.099","6.230","6.330","5.060","249.79K","-18.15%"
"04/01/1998","6.230","6.310","6.340","6.080","32.04K","-3.65%"
"03/01/1998","6.466","6.485","6.600","5.570","308.21K","-0.22%"
"02/01/1998","6.480","7.000","7.170","6.020","41.18K","5.80%"
"01/01/1998","6.125","5.950","6.190","5.385","275.94K","2.29%"
"12/01/1997","5.988","6.065","6.330","5.800","38.50K","13.56%"
"11/01/1997","5.273","4.820","5.500","4.820","25.47K","10.92%"
"10/01/1997","4.754","5.230","5.320","4.630","338.43K","-9.14%"
"09/01/1997","5.232","4.653","5.330","4.596","85.68K","11.89%"
"08/01/1997","4.676","4.539","4.860","4.527","31.72K","3.29%"
"07/01/1997","4.527","4.655","4.710","4.145","263.82K","-2.60%"
"06/01/1997","4.648","4.763","4.835","4.630","45.11K","-1.06%"
"05/01/1997","4.698","4.700","4.930","4.625","203.06K","0.11%"
"04/01/1997","4.693","5.080","5.080","4.645","35.67K","-7.98%"
"03/01/1997","5.100","5.345","5.435","5.100","292.79K","-4.85%"
"02/01/1997","5.360","4.900","5.395","4.890","47.52K","8.44%"
"01/01/1997","4.943","4.785","5.060","4.610","328.27K","3.19%"
"12/01/1996","4.790","4.790","4.920","4.710","37.63K","0.63%"
"11/01/1996","4.760","4.760","4.760","4.760","","-1.41%"
"10/01/1996","4.828","4.880","5.095","4.810","270.45K","-1.00%"
"09/01/1996","4.877","4.880","4.955","4.855","24.64K","-7.10%"
"08/01/1996","5.250","5.255","5.270","5.180","33.21K","1.49%"
"07/01/1996","5.173","5.045","5.200","4.930","249.28K","2.74%"
"06/01/1996","5.035","5.115","5.170","5.010","51.60K","-7.27%"
"05/01/1996","5.430","5.355","5.550","5.260","278.80K","1.69%"
"04/01/1996","5.340","5.560","5.560","5.250","40.22K","-4.01%"
"03/01/1996","5.563","5.555","5.740","5.360","286.63K","0.32%"
"02/01/1996","5.545","5.480","5.600","5.470","41.73K","-1.18%"
"01/01/1996","5.611","5.200","5.700","5.180","354.56K","7.76%"
"12/01/1995","5.207","5.180","5.220","5.125","17.50K","-0.82%"
"11/01/1995","5.250","5.380","5.450","5.180","26.55K","-2.36%"
"10/01/1995","5.377","5.480","5.510","5.260","233.69K","-1.97%"
"09/01/1995","5.485","5.321","5.545","5.231","24.93K","2.31%"
"08/01/1995","5.361","5.185","5.811","5.140","37.48K","5.59%"
"07/01/1995","5.077","5.080","5.460","5.025","230.81K","0.24%"
"06/01/1995","5.065","5.393","5.540","5.020","55.06K","-5.11%"
"05/01/1995","5.338","5.800","6.210","5.120","410.39K","-7.69%"
"04/01/1995","5.783","5.440","5.980","5.370","42.85K","8.38%"
"03/01/1995","5.336","4.485","5.400","4.340","365.65K","16.89%"
"02/01/1995","4.565","4.830","4.830","4.480","55.86K","-2.64%"
"01/01/1995","4.689","4.865","4.965","4.610","312.58K","-4.64%"
"12/01/1994","4.917","4.750","4.970","4.710","23.69K","-0.53%"
"11/01/1994","4.943","5.310","5.355","5.110","38.59K","-6.52%"
"10/01/1994","5.288","5.580","5.735","5.290","363.57K","-6.52%"
"09/01/1994","5.657","5.660","5.710","5.600","32.19K","3.10%"
"08/01/1994","5.487","5.165","5.480","5.095","23.10K","2.45%"
"07/01/1994","5.356","5.390","5.515","5.150","281.84K","-1.27%"
"06/01/1994","5.425","5.430","5.580","5.265","49.64K","-2.76%"
"05/01/1994","5.579","5.370","5.800","5.100","418.53K","3.64%"
"04/01/1994","5.383","5.680","5.680","5.119","55.12K","-7.27%"
"03/01/1994","5.805","5.360","5.810","5.180","382.93K","7.70%"
"02/01/1994","5.390","5.300","5.395","5.184","45.47K","4.72%"
"01/01/1994","5.147","5.135","5.410","4.890","392.58K","0.59%"
"12/01/1993","5.117","4.675","5.170","4.650","10.60K","14.99%"
"11/01/1993","4.450","4.300","4.720","4.250","56.94K","1.62%"
"10/01/1993","4.379","4.070","4.600","4.020","289.33K","7.28%"
"09/01/1993","4.082","4.520","4.557","3.985","28.40K","-16.25%"
"08/01/1993","4.874","5.470","5.470","4.680","20.90K","-6.90%"
"07/01/1993","5.235","4.570","5.290","4.550","356.12K","14.13%"
"06/01/1993","4.587","4.410","4.640","4.270","39.33K","-1.10%"
"05/01/1993","4.638","4.460","4.750","4.230","360.46K","5.00%"
"04/01/1993","4.417","3.880","4.425","3.860","53.22K","12.76%"
"03/01/1993","3.917","3.590","3.965","3.550","152.63K","8.81%"
"02/01/1993","3.600","3.685","3.704","3.537","15.43K","-1.96%"
"01/01/1993","3.672","3.635","3.760","3.313","127.46K","-0.49%"
"12/01/1992","3.690","3.715","3.770","3.655","10.00K","-1.91%"
"11/01/1992","3.762","3.955","3.955","3.665","0.02K","-0.34%"
"10/01/1992","3.775","3.760","3.830","3.695","103.68K","0.35%"
"09/01/1992","3.762","3.725","3.785","3.725","174.85K","0.37%"
"08/01/1992","3.748","3.805","3.825","3.705","8.71K","-5.31%"
"07/01/1992","3.958","4.060","4.105","3.835","145.75K","-2.46%"
"06/01/1992","4.058","4.000","4.060","3.985","22.04K","0.45%"
"05/01/1992","4.040","4.020","4.165","3.995","139.14K","0.62%"
"04/01/1992","4.015","4.120","4.120","3.945","14.85K","-3.46%"
"03/01/1992","4.159","4.110","4.225","4.010","186.66K","0.58%"
"02/01/1992","4.135","4.110","4.165","4.110","21.67K","-1.43%"
"01/01/1992","4.195","3.855","4.410","3.855","321.39K","7.23%"
"12/01/1991","3.912","4.130","4.130","3.840","14.92K","-4.42%"
"11/01/1991","4.093","4.020","4.120","4.020","0.08K","-0.78%"
"10/01/1991","4.125","4.195","4.260","4.030","213.27K","-1.15%"
"09/01/1991","4.173","3.943","4.220","3.898","20.70K","8.53%"
"08/01/1991","3.845","4.076","4.076","3.845","21.73K","-6.24%"
"07/01/1991","4.101","4.475","4.550","4.000","264.52K","-8.36%"
"06/01/1991","4.475","4.200","4.588","4.185","32.48K","8.04%"
"05/01/1991","4.142","4.025","4.230","3.955","211.77K","3.16%"
"04/01/1991","4.015","3.984","4.155","3.900","34.81K","3.16%"
"03/01/1991","3.892","3.770","4.240","3.735","327.16K","3.15%"
"02/01/1991","3.773","3.894","3.894","3.528","37.62K","-2.58%"
"01/01/1991","3.873","4.240","4.345","3.760","258.49K","-8.81%"
"12/01/1990","4.247","4.191","4.255","3.975","15.11K","1.65%"
"11/01/1990","4.178","4.220","4.310","4.080","0.06K","-0.52%"
"10/01/1990","4.200","4.810","4.820","4.055","249.17K","-13.08%"
"09/01/1990","4.832","4.785","4.956","4.785","10.94K","0.08%"
"08/01/1990","4.828","4.891","5.274","4.820","12.02K","-0.62%"
"07/01/1990","4.858","4.965","5.065","4.810","183.23K","-2.12%"
"06/01/1990","4.963","5.110","5.136","4.823","37.83K","-3.65%"
"05/01/1990","5.151","5.025","5.345","5.010","261.19K","2.71%"
"04/01/1990","5.015","5.019","5.232","4.954","19.77K","-0.12%"
"03/01/1990","5.021","5.200","5.235","4.900","160.36K","-3.54%"
"02/01/1990","5.205","5.360","5.400","4.233","48.48K","-1.23%"
"01/01/1990","5.270","5.225","5.445","5.176","281.36K","-0.06%"
"12/01/1989","5.273","5.743","5.760","5.200","40.23K","-8.30%"
"11/01/1989","5.750","5.217","5.905","5.217","24.05K","9.59%"
"10/01/1989","5.247","5.310","5.375","5.080","206.09K","-1.19%"
"09/01/1989","5.310","5.156","5.385","5.118","21.04K","3.59%"
"08/01/1989","5.126","5.332","5.372","5.126","0.02K","-4.22%"
"07/01/1989","5.352","5.340","5.495","5.190","194.11K","2.08%"
"06/01/1989","5.243","5.285","5.545","5.190","46.06K","-0.13%"
"05/01/1989","5.250","5.691","5.790","5.120","215.01K","-7.98%"
"04/01/1989","5.705","5.860","5.949","5.675","42.51K","-2.93%"
"03/01/1989","5.877","5.920","6.280","5.785","328.54K","-0.98%"
"02/01/1989","5.935","5.925","6.075","5.885","35.93K","0.85%"
"01/01/1989","5.885","6.150","6.310","5.830","244.41K","-4.00%"
"12/01/1988","6.130","6.200","6.283","6.075","17.42K","-1.72%"
"11/01/1988","6.237","6.382","6.579","6.100","24.73K","-2.49%"
"10/01/1988","6.396","6.230","6.545","6.196","229.11K","2.75%"
"09/01/1988","6.225","6.672","6.699","6.160","19.96K","-6.56%"
"08/01/1988","6.662","6.968","6.968","6.580","0.03K","-3.56%"
"07/01/1988","6.908","6.770","8.160","6.730","515.67K","1.96%"
"06/01/1988","6.775","6.911","7.430","6.650","51.82K","1.19%"
"05/01/1988","6.695","6.545","6.850","6.370","280.56K","1.67%"
"04/01/1988","6.585","6.920","6.920","6.405","17.97K","-4.84%"
"03/01/1988","6.920","6.300","6.920","6.220","283.01K","9.49%"
"02/01/1988","6.320","6.610","6.620","6.170","22.69K","-4.66%"
"01/01/1988","6.629","6.640","7.190","6.500","231.84K","-2.08%"
"12/01/1987","6.770","7.020","7.055","6.680","11.82K","-5.84%"
"11/01/1987","7.190","7.060","7.470","6.339","23.32K","2.26%"
"10/01/1987","7.031","7.660","8.620","6.700","371.75K","-7.61%"
"09/01/1987","7.610","7.422","8.120","7.422","32.97K","1.74%"
"08/01/1987","7.480","8.860","9.010","7.370","23.08K","-12.11%"
"07/01/1987","8.511","7.340","8.585","7.260","289.54K","14.86%"
"06/01/1987","7.410","7.412","8.049","6.870","34.92K","-3.98%"
"05/01/1987","7.717","8.000","9.620","7.270","349.63K","-4.49%"
"04/01/1987","8.080","6.336","9.894","6.336","50.71K","28.44%"
"03/01/1987","6.291","5.485","6.480","5.480","224.57K","14.53%"
"02/01/1987","5.493","5.544","5.610","5.436","18.51K","-1.10%"
"01/01/1987","5.554","5.465","5.765","5.400","194.53K","1.72%"
"12/01/1986","5.460","5.506","5.536","5.315","10.89K","1.96%"
"11/01/1986","5.355","5.762","5.865","5.250","11.23K","-6.18%"
"10/01/1986","5.708","5.610","5.900","5.470","227.37K","1.48%"
"09/01/1986","5.625","5.520","6.032","5.240","29.87K","8.24%"
"08/01/1986","5.197","5.270","5.620","5.144","10.16K","0.80%"
"07/01/1986","5.156","5.160","5.210","4.980","122.28K","-0.17%"
"06/01/1986","5.165","5.197","5.400","5.020","27.88K","-0.62%"
"05/01/1986","5.197","5.180","5.340","4.870","191.04K","0.13%"
"04/01/1986","5.190","5.158","5.540","5.065","31.08K","-0.15%"
"03/01/1986","5.198","5.710","5.895","5.400","198.75K","-8.89%"
"02/01/1986","5.705","5.978","6.024","5.670","31.56K","-6.67%"
"01/01/1986","6.113","5.880","6.420","5.720","319.77K","3.52%"
"12/01/1985","5.905","6.187","6.190","5.800","10.75K","-5.06%"
"11/01/1985","6.220","6.160","6.365","6.100","20.91K","0.86%"
"10/01/1985","6.167","6.080","6.530","6.075","241.59K","1.18%"
"09/01/1985","6.095","6.085","6.218","5.968","13.00K","-3.61%"
"08/01/1985","6.323","6.340","6.470","6.180","13.63K","-0.82%"
"07/01/1985","6.375","6.180","6.500","5.880","278.81K","2.99%"
"06/01/1985","6.190","6.227","6.535","6.154","20.29K","-0.61%"
"05/01/1985","6.228","6.200","6.780","5.990","337.85K","-0.19%"
"04/01/1985","6.240","6.517","6.780","6.190","31.82K","-7.87%"
"03/01/1985","6.773","5.680","6.900","5.530","397.37K","18.82%"
"02/01/1985","5.700","6.304","6.354","5.620","37.24K","-11.39%"
"01/01/1985","6.433","6.290","6.433","5.855","389.84K","-0.57%"
"12/01/1984","6.470","7.150","7.166","6.356","8.10K","-9.14%"
"11/01/1984","7.121","7.486","7.930","7.120","24.22K","-3.00%"
"10/01/1984","7.341","7.660","7.865","7.120","354.68K","-3.66%"
"09/01/1984","7.620","7.250","7.870","7.115","57.34K","0.49%"
"08/01/1984","7.583","7.574","8.138","7.525","14.79K","5.94%"
"07/01/1984","7.158","8.450","8.475","7.010","405.02K","-16.28%"
"06/01/1984","8.550","9.620","9.640","8.440","40.98K","-9.39%"
"05/01/1984","9.436","9.110","9.555","8.680","487.32K","3.58%"
"04/01/1984","9.110","9.790","9.790","9.020","52.90K","-8.78%"
"03/01/1984","9.987","9.770","10.320","9.330","544.89K","1.80%"
"02/01/1984","9.810","8.886","10.100","8.811","89.64K","12.35%"
"01/01/1984","8.732","9.040","9.050","7.830","421.96K","-4.62%"
"12/01/1983","9.155","9.825","10.110","8.690","41.47K","-6.34%"
"11/01/1983","9.775","8.810","9.800","8.410","59.78K","12.27%"
"10/01/1983","8.707","10.500","10.780","8.780","411.37K","-21.35%"
"09/01/1983","11.070","12.310","12.419","11.010","76.05K","-10.00%"
"08/01/1983","12.300","12.138","12.805","11.690","0.04K","-2.23%"
"07/01/1983","12.580","11.810","12.790","11.450","316.98K","6.97%"
"06/01/1983","11.760","12.704","12.704","11.200","54.99K","-10.94%"
"05/01/1983","13.204","12.200","13.880","12.140","397.58K","7.88%"
"04/01/1983","12.240","11.000","12.760","11.000","57.19K","12.92%"
"03/01/1983","10.840","10.870","11.540","10.160","322.89K","-8.68%"
"02/01/1983","11.870","14.430","15.030","11.870","59.51K","-17.76%"
"01/01/1983","14.433","11.160","14.433","11.000","387.60K","30.03%"
"12/01/1982","11.100","10.270","11.500","10.230","39.38K","8.29%"
"11/01/1982","10.250","10.590","11.210","9.170","81.87K","-0.41%"
"10/01/1982","10.292","8.635","10.870","8.260","21.21K","21.73%"
"09/01/1982","8.455","8.000","10.025","7.820","2.81K","4.19%"
"08/01/1982","8.115","7.245","8.660","6.320","142.07K","16.51%"
"07/01/1982","6.965","5.990","7.480","5.580","171.27K","13.07%"
"06/01/1982","6.160","6.305","6.450","4.920","58.99K","-7.72%"
"05/01/1982","6.675","7.245","7.260","6.670","6.98K","-7.29%"
"04/01/1982","7.200","7.585","8.100","6.860","5.87K","-5.19%"
"03/01/1982","7.594","8.145","8.320","7.160","17.51K","-6.65%"
"02/01/1982","8.135","8.380","9.050","7.990","44.25K","-1.75%"
"01/01/1982","8.280","8.155","8.640","7.830","98.40K","-0.12%"
"12/01/1981","8.290","8.252","9.120","8.084","8.91K","-0.80%"
"11/01/1981","8.357","9.520","9.520","8.080","6.73K","-10.87%"
"10/01/1981","9.376","9.625","10.050","9.000","88.54K","-0.04%"
"09/01/1981","9.380","9.620","11.575","8.490","18.52K","-2.09%"
"08/01/1981","9.580","8.500","9.900","8.500","5.98K","9.24%"
"07/01/1981","8.770","8.855","9.400","8.400","52.29K","-0.34%"
"06/01/1981","8.800","11.040","11.040","8.700","9.18K","-20.34%"
"05/01/1981","11.047","11.420","11.830","10.400","31.63K","-2.93%"
"04/01/1981","11.380","12.350","12.600","10.980","7.83K","-6.64%"
"03/01/1981","12.190","12.000","13.670","11.630","42.59K","-2.48%"
"02/01/1981","12.500","13.150","14.150","12.450","6.21K","-8.42%"
"01/01/1981","13.650","15.535","16.970","13.570","35.60K","-15.32%"
"12/01/1980","16.120","19.700","19.700","14.700","4.73K","-15.87%"
"11/01/1980","19.160","19.560","20.450","17.870","5.98K","-1.06%"
"10/01/1980","19.365","22.250","22.280","18.540","48.71K","-8.87%"
"09/01/1980","21.250","16.682","23.910","16.590","7.60K","27.70%"
"08/01/1980","16.640","16.000","16.750","15.750","2.11K","5.92%"
"07/01/1980","15.710","17.320","17.800","15.300","24.51K","-7.04%"
"06/01/1980","16.900","14.875","17.800","14.875","3.78K","20.20%"
"05/01/1980","14.060","12.000","14.060","10.900","15.36K","8.15%"
"04/01/1980","13.000","18.350","18.350","13.000","3.32K","-32.82%"
"03/01/1980","19.350","36.100","37.600","19.350","19.72K","-46.75%"
"02/01/1980","36.340","35.000","39.000","34.000","2.73K","0.94%"
"01/01/1980","36.000","30.050","41.500","30.050","36.51K","22.12%"
"12/01/1979","29.480","20.070","29.480","19.310","","52.98%"
"11/01/1979","19.270","16.500","19.270","16.190","1.70K","14.77%"
"10/01/1979","16.790","17.200","18.130","15.910","","1.14%"
"09/01/1979","16.600","11.135","16.700","11.135","","54.06%"
"08/01/1979","10.775","9.220","10.775","8.865","","17.82%"
"07/01/1979","9.145","8.842","9.845","8.656","","4.16%"
"06/01/1979","8.780","8.750","8.900","8.415","","-0.61%"
"05/01/1979","8.834","8.122","9.140","8.030","","9.20%"
"04/01/1979","8.090","7.590","8.090","7.320","","7.04%"
"03/01/1979","7.558","7.767","7.934","7.150","","-3.47%"
"02/01/1979","7.830","6.737","8.081","6.716","","15.37%"
"01/01/1979","6.787","6.152","6.870","5.980","","10.59%"
"12/01/1978","6.137","6.035","6.150","5.876","","1.24%"
"11/01/1978","6.062","6.059","6.140","5.685","","-3.15%"
"10/01/1978","6.259","5.711","6.444","5.707","","9.52%"
"09/01/1978","5.715","5.575","5.760","5.465","","2.86%"
"08/01/1978","5.556","5.770","5.800","5.360","","-3.09%"
"07/01/1978","5.733","5.318","5.733","5.211","","8.48%"
"06/01/1978","5.285","5.460","5.520","5.270","","-3.31%"
"05/01/1978","5.466","5.003","5.515","4.985","","8.67%"
"04/01/1978","5.030","5.497","5.497","4.905","","-9.04%"
"03/01/1978","5.530","5.012","5.595","4.985","","9.98%"
"02/01/1978","5.028","5.022","5.087","4.867","","-0.12%"
"01/01/1978","5.034","4.910","5.112","4.860","","3.82%"
"12/01/1977","4.849","4.724","4.875","4.664","","0.54%"
"11/01/1977","4.823","4.932","5.038","4.672","","-1.97%"
"10/01/1977","4.920","4.721","4.934","4.665","","4.97%"
"09/01/1977","4.687","4.503","4.720","4.480","","3.92%"
"08/01/1977","4.510","4.514","4.603","4.345","","-0.79%"
"07/01/1977","4.546","4.520","4.717","4.390","","0.64%"
"06/01/1977","4.517","4.630","4.630","4.367","","-1.63%"
"05/01/1977","4.592","4.810","4.855","4.553","","-4.47%"
"04/01/1977","4.807","4.940","4.940","4.726","","-1.03%"
"03/01/1977","4.857","4.745","5.025","4.730","","1.72%"
"02/01/1977","4.775","4.490","4.795","4.488","","5.71%"
"01/01/1977","4.517","4.395","4.622","4.316","","2.92%"
"12/01/1976","4.389","4.334","4.445","4.325","","1.71%"
"11/01/1976","4.315","4.345","4.600","4.250","","-0.67%"
"10/01/1976","4.344","4.388","4.415","4.110","","-0.64%"
"09/01/1976","4.372","4.300","4.443","4.142","","6.19%"
"08/01/1976","4.117","4.355","4.400","4.094","","-9.16%"
"07/01/1976","4.532","4.850","5.212","4.405","","-7.32%"
"06/01/1976","4.890","4.718","4.980","4.690","","3.25%"
"05/01/1976","4.736","4.470","4.758","4.335","","5.24%"
"04/01/1976","4.500","4.172","4.575","4.100","","10.46%"
"03/01/1976","4.074","4.230","4.359","4.062","","-4.03%"
"02/01/1976","4.245","4.032","4.286","3.940","","6.28%"
"01/01/1976","3.994","4.215","4.402","3.800","","-5.71%"
"12/01/1975","4.236","4.100","4.348","3.930","","2.00%"
"11/01/1975","4.153","4.255","4.540","4.140","","-1.70%"
"10/01/1975","4.225","4.580","4.650","4.150","","-6.63%"
"09/01/1975","4.525","4.440","4.684","4.390","","-2.37%"
"08/01/1975","4.635","5.125","5.330","4.635","","-9.06%"
"07/01/1975","5.097","4.690","5.365","4.530","","9.03%"
"06/01/1975","4.675","4.360","4.720","4.360","","2.72%"
"05/01/1975","4.551","4.336","4.930","4.310","","4.26%"
"04/01/1975","4.365","4.320","4.500","4.040","","0.74%"
"03/01/1975","4.333","4.545","4.605","4.170","","-4.03%"
"02/01/1975","4.515","4.225","4.685","4.152","","8.01%"
"01/01/1975","4.180","4.420","4.535","3.933","","-6.49%"
"12/01/1974","4.470","4.765","4.928","4.141","","-5.70%"
"11/01/1974","4.740","4.885","5.260","4.210","","-2.73%"
"10/01/1974","4.873","4.530","5.295","4.452","","10.12%"
"09/01/1974","4.425","4.047","4.425","3.770","","3.03%"
"08/01/1974","4.295","5.082","5.082","4.160","","-14.98%"
"07/01/1974","5.052","4.790","5.300","3.945","","2.83%"
"06/01/1974","4.913","4.818","5.470","4.675","","-2.09%"
"05/01/1974","5.018","5.570","6.225","4.690","","-12.58%"
"04/01/1974","5.740","5.425","5.935","4.320","","4.94%"
"03/01/1974","5.470","5.835","5.870","5.078","","-6.94%"
"02/01/1974","5.878","4.120","6.442","4.100","","43.54%"
"01/01/1974","4.095","3.337","4.150","3.261","","24.20%"
"12/01/1973","3.297","3.011","3.313","3.006","","9.28%"
"11/01/1973","3.017","2.898","3.045","2.748","","4.21%"
"10/01/1973","2.895","2.772","3.088","2.745","","2.59%"
"09/01/1973","2.822","2.675","2.905","2.535","","5.85%"
"08/01/1973","2.666","3.064","3.091","2.598","","-10.87%"
"07/01/1973","2.991","2.719","3.144","2.691","","9.92%"
"06/01/1973","2.721","2.660","2.785","2.430","","3.66%"
"05/01/1973","2.625","2.172","2.655","2.110","","20.30%"
"04/01/1973","2.182","2.200","2.298","2.060","","-1.71%"
"03/01/1973","2.220","2.568","2.700","2.140","","-12.94%"
"02/01/1973","2.550","2.077","2.550","2.055","","23.25%"